College,Code
Frederick Community College,207100
Frostburg State University,207200
Goucher College,207300
Hagerstown Community College,207400
Harford Community College,207500
Hood College,207600
Howard Community College,817500
Johns Hopkins University,207700
Loyola University Maryland,207800
University of Maryland Global Campus,1164400
University of Maryland Baltimore,210400
University of Maryland-Baltimore County,210500
University of Maryland-College Park,210300
Maryland Institute College of Art,208000
University of Maryland Eastern Shore,210600
Fortis Institute-Towson,1031900
Montgomery College,691100
Morgan State University,208300
Mount St. Mary's University,208600
Notre Dame of Maryland University,206500
Prince George's Community College,208900
Salisbury University,209100
St. Mary's College of Maryland,209500
Towson University,209900
United States Naval Academy,210100
Stevenson University,210700
Washington College,210800
McDaniel College,210900
Wor-Wic Community College,2073900
Hult International Business School,4143200
American International College,211400
Amherst College,211500
Anna Maria College,211700
Assumption University,211800
Babson College,212100
Bay Path University,212200
Bay State College,396500
Becker College,212300
Bentley University,212400
Berklee College of Music,212600
Berkshire Community College,216700
Boston College,212800
Boston University,213000
Brandeis University,213300
Bridgewater State University,218300
Bristol Community College,217600
Bunker Hill Community College,1121000
Cambridge College,2182900
Cape Cod Community College,216800
Laboure College,632400
Clark University,213900
Curry College,214300
Dean College,214400
Eastern Nazarene College,214500
Emerson College,214600
Emmanuel College,214700
Endicott College,214800
Fisher College,215000
Fitchburg State University,218400
Framingham State University,218500
Gordon College,215300
Greenfield Community College,216900
Hampshire College,466100
Harvard University,215500
College of the Holy Cross,214100
Holyoke Community College,217000
Lasell University,215800
Lesley University,216000
University of Massachusetts-Lowell,216100
University of Massachusetts-Amherst,222100
University of Massachusetts-Boston,222200
Massachusetts Bay Community College,217100
MCPHS University,216500
Massachusetts College of Art and Design,218000
Massachusetts Institute of Technology,217800
Massachusetts Maritime Academy,218100
Massasoit Community College,217700
Merrimack College,212000
Middlesex Community College,993600
Mount Holyoke College,219200
Mount Wachusett Community College,217200
Nichols College,219700
Massachusetts College of Liberal Arts,218700
North Shore Community College,217300
Northeastern University,219900
Northern Essex Community College,217400
College of Our Lady of the Elms,214000
Quincy College,220500
Quinsigamond Community College,217500
Regis College,220600
Roxbury Community College,1193000
Salem State University,218800
Simmons University,220800
Smith College,220900
Springfield College,221100
Springfield Technical Community College,807800
University of Massachusetts-Dartmouth,221000
Stonehill College,221700
Suffolk University,221800
Tufts University,221900
Wellesley College,222400
Wentworth Institute of Technology,222500
Western New England University,222600
Westfield State University,218900
Wheaton College (Massachusetts),222700
Williams College,222900
Worcester Polytechnic Institute,223300
Worcester State University,219000
Adrian College,223400
Albion College,223500
Northwestern Technological Institute,3124000
Alma College,223600
Alpena Community College,223700
Andrews University,223800
Aquinas College,223900
Baker College,467300
Bay de Noc Community College,224000
Calvin University,224100
Central Michigan University,224300
Mott Community College,226100
Cleary University,224600
College for Creative Studies,677100
Davenport University,224900
Delta College,225100
MIAT College of Technology,2060300
University of Detroit Mercy,232300
Eastern Michigan University,225900
Ferris State University,226000
Glen Oaks Community College,226300
Kettering University,226200
Gogebic Community College,226400
Grace Christian University,226500
Cornerstone University,226600
Grand Rapids Community College,226700
Grand Valley State University,226800
Henry Ford College,227000
Hillsdale College,227200
Hope College,227300
Jackson College,227400
Kalamazoo College,227500
Kalamazoo Valley Community College,694900
Kellogg Community College,227600
Kirtland Community College,717100
Lake Michigan College,227700
Lake Superior State University,229300
Lansing Community College,227800
Lawrence Technological University,227900
Macomb Community College,890600
Madonna University,228200
Rochester University,228800
University of Michigan-Ann Arbor,232500
Michigan State University,229000
Michigan Technological University,229200
University of Michigan-Dearborn,232600
University of Michigan-Flint,232700
Mid Michigan College,676800
Monroe County Community College,229400
Montcalm Community College,229500
Muskegon Community College,229700
North Central Michigan College,229900
Northern Michigan University,230100
Northwestern Michigan College,230200
Northwood University,407200
Oakland Community College,230300
Oakland University,230700
Olivet College,230800
Saginaw Valley State University,231400
Schoolcraft College,231500
Siena Heights University,231600
St Clair County Community College,231000
Southwestern Michigan College,231700
Spring Arbor University,231800
Walsh College,407100
Washtenaw Community College,232800
Wayne County Community College District,923000
Wayne State University,232900
West Shore Community College,795000
Western Michigan University,233000
Alexandria Technical & Community College,554400
Anoka Technical College,735000
Anoka-Ramsey Community College,233200
Augsburg University,233400
Riverland Community College,233500
Northwest Technical College,575900
Bemidji State University,233600
Bethany Lutheran College,233700
Bethel University,905800
